Title,Link,keywords,publicationDate,authors,publication,abstract
Galactose-depleted xycoglucan is dysfunctional and leads to dwarfism in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4378170/,['Arabidopsis'],2024-06-22,"['Dr. Robert Garcia', 'Dr. Samuel Jones', 'Dr. James Rodriguez', 'Dr. Aisha Khan']",Microgravity Science and Technology,This research paper investigates galactose-depleted xycoglucan is dysfunctional and leads to dwarfism in arabidopsis. This work advances our knowledge of biological responses to microgravity.
"Unfolded protein response in plants: one master, many questions.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4618186/,['Protein'],2024-03-01,['Dr. Jennifer Lee'],International Journal of Space Biology,"This research paper investigates unfolded protein response in plants: one master, many questions.. The study provides new insights into the biological mechanisms involved."
Vesicles versus Tubes: Is Endoplasmic Reticulum-Golgi Transport in Plants Fundamentally Different from Other Eukaryotes?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4453782/,[],2021-10-23,"['Dr. Lisa Park', 'Dr. James Rodriguez', 'Dr. Michael Brown']",Microgravity Science and Technology,This research paper investigates vesicles versus tubes: is endoplasmic reticulum-golgi transport in plants fundamentally different from other eukaryotes?. This work advances our knowledge of biological responses to microgravity.
Pectin methylesterification impacts the relationship between photosynthesis and plant growth.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4902601/,['Growth'],2024-07-26,"['Dr. Thomas Anderson', 'Dr. Aisha Khan']",Journal of Exobiology,This research paper investigates pectin methylesterification impacts the relationship between photosynthesis and plant growth.. The research supports development of countermeasures for space travel.
Reduced Chloroplast Coverage genes from Arabidopsis thaliana help to establish the size of the chloroplast compartment,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4776492/,"['Arabidopsis', 'Gene']",2020-03-08,"['Dr. Thomas Anderson', 'Dr. Michael Brown', 'Dr. Maria Gonzalez']",Journal of Astrobiology,This research paper investigates reduced chloroplast coverage genes from arabidopsis thaliana help to establish the size of the chloroplast compartment. Our findings contribute to understanding adaptation in space environments.
Maintaining the factory: The roles of the unfolded protein response in cellular homeostasis in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5415411/,"['Cell', 'Protein']",2021-08-31,"['Dr. Richard Chen', 'Dr. Samuel Jones', 'Dr. David Kim', 'Dr. Kenji Tanaka']",Space Medicine Review,This research paper investigates maintaining the factory: the roles of the unfolded protein response in cellular homeostasis in plants.. Our findings contribute to understanding adaptation in space environments.
NADPH oxidase activity is required for ER stress survival in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6289879/,['Stress'],2024-11-21,"['Dr. Amanda Taylor', 'Dr. Lisa Park', 'Dr. Jian Li']",Space Medicine Review,This research paper investigates nadph oxidase activity is required for er stress survival in plants.. Our findings contribute to understanding adaptation in space environments.
Relevance of the Unfolded Protein Response to Spaceflight-Induced Transcriptional Reprogramming in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7987364/,"['Arabidopsis', 'Spaceflight', 'Protein', 'Space']",2023-06-28,"['Dr. Lisa Park', 'Dr. Robert Garcia', 'Dr. Catherine Martinez']",International Journal of Space Biology,This research paper investigates relevance of the unfolded protein response to spaceflight-induced transcriptional reprogramming in arabidopsis. The study provides new insights into the biological mechanisms involved.
Reanalysis of the Mars500 experiment reveals common gut microbiome alterations in astronauts induced by long-duration confinement,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8099722/,"['Rat', 'Astronaut', 'Mars']",2021-09-01,"['Dr. Aisha Khan', 'Dr. David Kim', 'Dr. Ben Carter']",International Journal of Space Biology,This research paper investigates reanalysis of the mars500 experiment reveals common gut microbiome alterations in astronauts induced by long-duration confinement. Our findings contribute to understanding adaptation in space environments.
"High atomic weight, high-energy radiation (HZE) induces transcriptional responses shared with conventional stresses in addition to a core ""DSB"" response specific to clastogenic treatments",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5116466/,"['Stress', 'Radiation']",2024-02-25,"['Dr. Amanda Taylor', 'Dr. Sarah Wilson']",Journal of Astrobiology,"This research paper investigates high atomic weight, high-energy radiation (hze) induces transcriptional responses shared with conventional stresses in addition to a core ""dsb"" response specific to clastogenic treatments. The results have implications for long-duration space missions."
Genomic stability in response to high versus low linear energy transfer radiation in Arabidopsis thaliana,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4033213/,"['Arabidopsis', 'Radiation']",2020-10-03,['Dr. Sarah Wilson'],Life Support & Space Habitation,This research paper investigates genomic stability in response to high versus low linear energy transfer radiation in arabidopsis thaliana. The study provides new insights into the biological mechanisms involved.
Acceleration profiles and processing methods for parabolic flight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6081456/,['Rat'],2021-02-12,"['Dr. Elena Petrov', 'Dr. Robert Garcia']",Aerospace Medicine and Human Performance,This research paper investigates acceleration profiles and processing methods for parabolic flight.. Our findings contribute to understanding adaptation in space environments.
Cytoskeleton structure and total methylation of mouse cardiac and lung tissue during space flight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5955502/,"['Space', 'Mouse', 'Cardiac', 'Iss', 'Tissue']",2024-05-26,"['Dr. Thomas Anderson', 'Dr. Elena Petrov', 'Dr. James Rodriguez', 'Dr. Jennifer Lee']",Gravitational and Space Research,This research paper investigates cytoskeleton structure and total methylation of mouse cardiac and lung tissue during space flight.. The research supports development of countermeasures for space travel.
Toward countering muscle and bone loss with spaceflight: GSK3 as a potential target,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10285634/,"['Muscle', 'Spaceflight', 'Bone', 'Space']",2020-02-05,"['Dr. Kenji Tanaka', 'Dr. Jian Li']",Journal of Exobiology,This research paper investigates toward countering muscle and bone loss with spaceflight: gsk3 as a potential target. The research supports development of countermeasures for space travel.
Spaceflight increases sarcoplasmic reticulum Ca2+ leak and this cannot be counteracted with BuOE treatment,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11271499/,"['Spaceflight', 'Space']",2020-09-11,"['Dr. Robert Garcia', 'Dr. James Rodriguez']",International Journal of Space Biology,This research paper investigates spaceflight increases sarcoplasmic reticulum ca2+ leak and this cannot be counteracted with buoe treatment. The results have implications for long-duration space missions.
Cardiovascular progenitor cells cultured aboard the International Space Station exhibit altered developmental and functional properties,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6062551/,"['International Space Station', 'Cell', 'Development', 'Space']",2024-10-10,['Dr. Kenji Tanaka'],Life Support & Space Habitation,This research paper investigates cardiovascular progenitor cells cultured aboard the international space station exhibit altered developmental and functional properties. The study provides new insights into the biological mechanisms involved.
Inter-agency perspective: Translating advances in biomarker discovery and medical countermeasures development between terrestrial and space radiation environments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9832585/,"['Radiation', 'Development', 'Space']",2024-06-04,"['Dr. Maria Gonzalez', 'Dr. Catherine Martinez', 'Dr. Richard Chen', 'Dr. Lisa Park']",International Journal of Space Biology,This research paper investigates inter-agency perspective: translating advances in biomarker discovery and medical countermeasures development between terrestrial and space radiation environments. Our findings contribute to understanding adaptation in space environments.
Genomic and functional characterization of Enterococcus faecalis isolates recovered from the International Space Station and their potential for pathogenicity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7829349/,"['International Space Station', 'Space']",2024-10-05,"['Dr. Thomas Anderson', 'Dr. Elena Petrov', 'Dr. Michael Brown']",Life Support & Space Habitation,This research paper investigates genomic and functional characterization of enterococcus faecalis isolates recovered from the international space station and their potential for pathogenicity. Our findings contribute to understanding adaptation in space environments.
Evaluation of in vitro macrophage differentiation during space flight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3570223/,['Space'],2022-02-02,['Dr. Lisa Park'],Space Life Sciences,This research paper investigates evaluation of in vitro macrophage differentiation during space flight.. This work advances our knowledge of biological responses to microgravity.
Identification of critical host mitochondrion-associated genes during Ehrlichia chaffeensis infections,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3457586/,['Gene'],2021-01-23,"['Dr. Amanda Taylor', 'Dr. Sarah Wilson']",Gravitational and Space Research,This research paper investigates identification of critical host mitochondrion-associated genes during ehrlichia chaffeensis infections. This work advances our knowledge of biological responses to microgravity.
Ehrlichia chaffeensis replication sites in adult Drosophila melanogaster.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3558598/,['Drosophila'],2021-11-14,"['Dr. Michael Brown', 'Dr. David Kim', 'Dr. Richard Chen', 'Dr. Catherine Martinez']",Space Life Sciences,This research paper investigates ehrlichia chaffeensis replication sites in adult drosophila melanogaster.. The study provides new insights into the biological mechanisms involved.
Development and characterization of two porcine monocyte-derived macrophage cell lines.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11046949/,"['Cell', 'Development']",2023-05-04,['Dr. Jian Li'],Space Medicine Review,This research paper investigates development and characterization of two porcine monocyte-derived macrophage cell lines.. The study provides new insights into the biological mechanisms involved.
Understanding macrophage differentiation during space flight: The importance of ground-based experiments before space flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3890248/,['Space'],2023-02-05,"['Dr. Eva Rostova', 'Dr. Ben Carter', 'Dr. Sarah Wilson', 'Dr. Lisa Park']",International Journal of Space Biology,This research paper investigates understanding macrophage differentiation during space flight: the importance of ground-based experiments before space flight. The results have implications for long-duration space missions.
Bone marrow leptin signaling mediates obesity-associated adipose tissue inflammation in male mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3868799/,"['Mice', 'Iss', 'Bone', 'Inflammation', 'Tissue']",2020-10-25,"['Dr. Eva Rostova', 'Dr. Sofia Rossi']",Microgravity Science and Technology,This research paper investigates bone marrow leptin signaling mediates obesity-associated adipose tissue inflammation in male mice.. The study provides new insights into the biological mechanisms involved.
Establishment and characterization of DB-1: a leptin receptor-deficient murine macrophage cell line,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4960141/,['Cell'],2020-01-11,"['Dr. Robert Garcia', 'Dr. Maria Gonzalez', 'Dr. Jennifer Lee', 'Dr. Aisha Khan']",Microgravity Science and Technology,This research paper investigates establishment and characterization of db-1: a leptin receptor-deficient murine macrophage cell line. This work advances our knowledge of biological responses to microgravity.
